Efraim Morais,Efraim Morais.1
Efraim Morais,Efraim Morais
Senador pela Paraíba,Senador pela Paraíba
Período,1º de fevereiro de 2003a 31 de janeiro de 2011
Deputado federal pela Paraíba,Deputado federal pela Paraíba
Período,1º de fevereiro de 1991a 31 de janeiro de 2003
Deputado estadual da Paraíba,Deputado estadual da Paraíba
Período,1º de janeiro de 1983a 1º de janeiro de 1991
Secretário de Infraestrutura,Secretário de Infraestrutura
Período,2011 a 2014
45º Presidente da Câmara dos Deputados,45º Presidente da Câmara dos Deputados
Período,17 de dezembro de 2002a 2 de fevereiro de 2003
Antecessor(a),Aécio Neves
Sucessor(a),João Paulo Cunha
Dados pessoais,Dados pessoais
Nascimento,"4 de setembro de 1952 (69 anos) São Mamede, então distrito de Santa Luzia"
Esposa,Ângela Maria Mayer Ventura Morais
Partido,PDS (1981-1985)PFL (1985-2007)DEM (2007-presente)
Profissão,Engenheiro
,
