Enivaldo Ribeiro,Enivaldo Ribeiro
Deputado federal pela Paraíba,Deputado federal pela Paraíba.1
Período,1º de fevereiro de 1995a 1º de fevereiro de 2007(3 mandatos consecutivos)
Deputado estadual da Paraíba,Deputado estadual da Paraíba
Período,1.º- 1975 a 19772.º- 1º de fevereiro de 1987a 1º de fevereiro de 1991
29.º Prefeito de Campina Grande,29.º Prefeito de Campina Grande
Período,1º de fevereiro de 1977a 1º de fevereiro de 1983(2 mandatos consecutivos)
Antecessor(a),Evaldo Cavalcanti da Cruz
Sucessor(a),Ronaldo Cunha Lima
Dados pessoais,Dados pessoais
Nome completo,Enivaldo Ribeiro
Nascimento,"26 de março de 1935 (86 anos) Campina Grande, PB"
Progenitores,Mãe: Áurea Moura RibeiroPai: Pedro Vaz Ribeiro
Alma mater,Universidade Regional do Nordeste (UEPB)
Prêmio(s),Ordem do Mérito da Defesa[1]
Primeira-dama,Virgínia Maria Peixoto Velloso Borges
Filhos,Aguinaldo RibeiroDaniella Ribeiro
Partido,ARENA (1974-1979)PDS (1980-1993)PPR (1993-1995)PP (1995-2018)
Profissão,"advogado, político"
