Ernani Aires Satyro e Sousa,Ernani Aires Satyro e Sousa.1
,
Ministro do Superior Tribunal Militar do Brasil,Ministro do Superior Tribunal Militar do Brasil
Período,9 de maio de 1969 até 15 de março de 1971
34° Governador da Paraíba,34° Governador da Paraíba
Período,15 de março de 1971 até 15 de março de 1975
Antecessor(a),João Agripino Filho
Sucessor(a),Ivan Bichara Sobreira
Deputado Federal pela Paraíba,Deputado Federal pela Paraíba
Período,1946 até 9 de maio de 1969 1979 até 1986
18º Prefeito de João Pessoa,18º Prefeito de João Pessoa
Período,Julho de 1940 até Julho de 1940
Deputado Estadual da Paraíba,Deputado Estadual da Paraíba
Período,1934 até 1937
Dados pessoais,Dados pessoais
Nascimento,"11 de setembro de 1911 Patos, Paraíba"
Morte,"8 de maio de 1986 (74 anos) Brasília, Distrito Federal"
Progenitores,Mãe: Capitulina Ayres Sátiro e SousaPai: Miguel Sátiro e Sousa
Alma mater,Universidade Federal de Pernambuco
Prêmio(s),Cadeira 32 da Academia Paraibana de Letras
Cônjuge,Antonieta Agra Sátiro
Partido,"PRL, UDN, ARENA, PDS"
Profissão,"Advogado, escritor e político"
