Humberto Coutinho de Lucena,Humberto Coutinho de Lucena
Deputado estadual da Paraíba,Deputado estadual da Paraíba.1
Período,1951-1959
Deputado federal da Paraíba,Deputado federal da Paraíba
Período,1959-19711975-1979
Senador pela Paraíba,Senador pela Paraíba
Período,1979-1998
Presidente do Senado Federal,Presidente do Senado Federal
Período,1987-1989
Antecessor(a),José Fragelli
Sucessor(a),Nelson Carneiro
Presidente do Senado Federal,Presidente do Senado Federal
Período,1993-1995
Antecessor(a),Mauro Benevides
Sucessor(a),José Sarney
Dados pessoais,Dados pessoais
Nascimento,"22 de abril de 1928 João Pessoa, PB"
Morte,"13 de abril de 1998 (69 anos) São Paulo, SP"
Alma mater,Universidade Federal de Pernambuco
Cônjuge,Ruth Maria Heusi de Lucena
Partido,PSD (1945-1965)MDB (1966-1979)PMDB (1980-1998)
Profissão,advogado
