Zé Maranhão,Zé Maranhão
José Targino Maranhão,José Targino Maranhão.1
Zé Maranhão,Zé Maranhão
Senador pela Paraíba,Senador pela Paraíba
Período,1º de fevereiro de 2015 à 8 de fevereiro de 2021
Período,1º de fevereiro de 2003até 17 de fevereiro de 2009
49º Governador da Paraíba,49º Governador da Paraíba
Período,18 de fevereiro de 2009até 1º de janeiro de 2011
Vice-governador,Luciano Cartaxo
Antecessor(a),Cássio Cunha Lima
Sucessor(a),Ricardo Coutinho
45º Governador da Paraíba,45º Governador da Paraíba
Período,16 de setembro de 1995até 6 de abril de 2002
Vice-governador,Nenhum (1995–1999)Roberto Paulino (1999–2002)
Antecessor(a),Antônio Mariz
Sucessor(a),Roberto Paulino
Vice-Governador da Paraíba,Vice-Governador da Paraíba
Período,1º de janeiro de 1995até 15 de setembro de 1995
Governador(a),Antônio Mariz
Antecessor(a),Cícero Lucena
Sucessor(a),Roberto Paulino
Deputado Federal pela Paraíba,Deputado Federal pela Paraíba
Período,1º de fevereiro de 1983até 16 de dezembro de 1994(3 mandatos consecutivos)
Deputado Estadual da Paraíba,Deputado Estadual da Paraíba
Período,1º de fevereiro de 1955até 16 de janeiro de 1969(4 mandatos consecutivos)
Dados pessoais,Dados pessoais
Nome completo,José Targino Maranhão
Nascimento,"6 de setembro de 1933 Araruna, PB"
Morte,"8 de fevereiro de 2021 (87 anos) São Paulo, SP"
Nacionalidade,brasileiro
Progenitores,Mãe: Benedita Targino MaranhãoPai: Benjamim Gomes Maranhão
Alma mater,Universidade Federal da Paraíba
Cônjuge,Maria de Fátima Moraes Bezerra Cavalcanti
Filhos,Leônidas Bezerra Targino Maranhão Maria Alice Bezerra Cavalcanti Maranhão Letícia Mariz Maranhão
Partido,PTB (1954-1965)MDB (1966-1979)MDB (1980-2021)
Profissão,Advogado e empresário
