Luiz Couto,Luiz Couto
Luiz Albuquerque Couto,Luiz Albuquerque Couto.1
Luiz Couto fala no Seminário Nacional para Enfrentamento da Violência contra a Pessoa Idosa.,Luiz Couto fala no Seminário Nacional para Enfrentamento da Violência contra a Pessoa Idosa.
Secretário da Agricultura Familiar e do Desenvolvimento do Semiárido da Paraíba,Secretário da Agricultura Familiar e do Desenvolvimento do Semiárido da Paraíba
Período,1º de fevereiro de 2019 até 20 de outubro de 2020
Governador,João Azevêdo
Deputado Federal pela Paraíba,Deputado Federal pela Paraíba
Período,1º de fevereiro de 2003 até 31º de janeiro de 2019
Deputado Estadual da Paraíba,Deputado Estadual da Paraíba
Período,1º de fevereiro de 1995 até 31 de janeiro de 2003
Dados pessoais,Dados pessoais
Nascimento,"13 de fevereiro de 1945 (76 anos) Soledade,Paraíba"
Nacionalidade,brasileiro
Progenitores,Mãe: Elisa Leopoldina de Albuquerque CoutoPai: Antônio Joaquim de Couto
Partido,PT (1985-presente)
Profissão,Professor universitário e Sacerdote católico
Website,Luiz Couto
