Marcondes Gadelha,Marcondes Gadelha.1
Marcondes Gadelha,Marcondes Gadelha
Deputado federal pela Paraíba,Deputado federal pela Paraíba
Período,1 de janeiro de 1971até 15 de março de 19831 de fevereiro de 1999até 31 de janeiro de 20111 de dezembro de 2015até 31 de março de 201617 de maio de 2018até1 de fevereiro de 2019
Senador pela Paraíba,Senador pela Paraíba
Período,15 de março de 1983até 14 de março de 1991
Dados pessoais,Dados pessoais
Nascimento,"23 de julho de 1943 (78 anos) Sousa, PB"
Partido,MDB (1966-1979)PMDB (1980-1985)PFL (1985-1989)PMB (1989)PFL (1989-2003)PTB (2003-2005)PSB (2005-2009)PSC (2009-presente)
Profissão,Médico
