Vital do Rêgo,Vital do Rêgo
Deputado federal pela Paraíba,Deputado federal pela Paraíba.1
Período,2 de fevereiro de 1963 a 13 de janeiro de 1969
Período,1 de fevereiro de 1991 a 31 de janeiro de 1995
Deputado estadual pela Paraíba,Deputado estadual pela Paraíba
Período,1 de janeiro de 1959 a 31 de março de 1963
Dados pessoais,Dados pessoais
Nome completo,Antônio Vital do Rêgo
Nascimento,"21 de maio de 1935 Campina Grande, PB"
Morte,"2 de fevereiro de 2010 (74 anos) Recife, PE"
Progenitores,Mãe: Vicentina Figueiredo Vital do RêgoPai: Veneziano Vital do Rêgo
Alma mater,Faculdade de Direito do Recife
Cônjuge,Nilda Gondim
Filhos,Vital do Rêgo FilhoVeneziano Vital do Rêgo Segundo Neto
Partido,PSD (1958-1961)UDN (1961-1965)ARENA (1966-1968)MDB (1968-1969)PDS (1982-1989)PDT (1989-2001)PSB (2001-2005)PPS (2005-2010)
Profissão,"Advogado, professor e escritor"
,
