Wilson Braga,Wilson Braga
39° Governador da Paraíba,39° Governador da Paraíba.1
Período,15 de março de 1983a 14 de maio de 1987
Antecessor(a),Clóvis Bezerra Cavalcanti
Sucessor(a),Rivando Bezerra Cavalcanti
Deputado Federal pela Paraíba,Deputado Federal pela Paraíba
Período,1º- 1967a 19822º- 1 de fevereiro de 1995a 31 de janeiro de 20033º- 1 de fevereiro de 2007a 31 de janeiro de 2011
Deputado Estadual da Paraíba,Deputado Estadual da Paraíba
Período,1º- 1955a 1967(3 mandatos consecutivos)2º- 1 de fevereiro de 2011a 31 de janeiro de 2015
38º Prefeito de João Pessoa,38º Prefeito de João Pessoa
Período,1 de janeiro de 1989a 2 de abril de 1990
Antecessor(a),Carneiro Arnaud
Sucessor(a),Carlos Mangueira
Vereador de João Pessoa,Vereador de João Pessoa
Período,1993a 1994
Dados pessoais,Dados pessoais
Nome completo,Wilson Leite Braga
Nascimento,"18 de julho de 1931 Conceição, PB"
Morte,"17 de maio de 2020 (88 anos) João Pessoa, PB"
Progenitores,Mãe: Francisca Leite BragaPai: Francisco de Oliveira Braga
Alma mater,Faculdade de Direito da Paraíba
Cônjuge,Lúcia Braga
Partido,"ARENA, PDS, PFL, PSDB, PMDB, PSB, PDT, PSD"
Profissão,"Advogado, empresário e político"
