Álvaro Gaudêncio Filho,Álvaro Gaudêncio Filho
Deputado federal pela Paraíba,Deputado federal pela Paraíba.1
Período,1 de fevereiro de 1971 a 31 de janeiro de 1987
Prefeito de Serra Branca,Prefeito de Serra Branca
Período,1 de janeiro de 1965 a 31 de dezembro de 1968
Dados pessoais,Dados pessoais
Nome completo,Álvaro Gaudêncio Filho
Nascimento,"8 de fevereiro de 1930 São João do Cariri, PB"
Morte,"12 de março de 2004 (74 anos) Campina Grande, PB"
Progenitores,Mãe: Quitéria Lucas GaudêncioPai: Álvaro Gaudêncio de Queiroz
Alma mater,Faculdade de Direito da Universidade Federal de Pernambuco
Cônjuge,Ana Lúcia Cavalcanti Gaudêncio
Partido,"UDN, ARENA, PDS, PFL"
Profissão,"Jurista, pecuarista e político"
